ths_stock_code_stock,ths_stock_short_name_stock,INDUSTRY_SW_2021
61,农产品,商贸零售
420,吉林化纤,基础化工
728,国元证券,非银金融
776,广发证券,非银金融
783,长江证券,非银金融
938,紫光股份,计算机
970,中科三环,有色金属
977,浪潮信息,计算机
1298,好上好,电子
1389,广合科技,电子
2049,紫光国微,电子
2182,宝武镁业,有色金属
2249,大洋电机,电力设备
2251,步步高,商贸零售
2311,海大集团,农林牧渔
2320,海峡股份,交通运输
2324,普利特,基础化工
2326,永太科技,基础化工
2407,多氟多,基础化工
2544,普天科技,通信
2555,三七互娱,传媒
2588,史丹利,基础化工
2643,万润股份,电子
2709,天赐材料,电力设备
2736,国信证券,非银金融
2895,川恒股份,基础化工
2945,华林证券,非银金融
2967,广电计量,社会服务
2993,奥海科技,电子
3006,百亚股份,美容护理
3031,中瓷电子,通信
300054,鼎龙股份,电子
300059,东方财富,非银金融
300115,长盈精密,电子
300127,银河磁体,有色金属
300133,华策影视,传媒
300153,科泰电源,电力设备
300184,力源信息,电子
300255,常山药业,医药生物
300260,新莱应材,机械设备
300323,华灿光电,电子
300364,中文在线,传媒
300398,飞凯材料,电子
300408,三环集团,电子
300428,立中集团,汽车
300433,蓝思科技,电子
300618,寒锐钴业,有色金属
300655,晶瑞电材,电子
300693,盛弘股份,电力设备
300695,兆丰股份,汽车
300772,运达股份,电力设备
300855,图南股份,有色金属
300866,安克创新,电子
300926,博俊科技,汽车
301155,海力风电,电力设备
600096,云天化,基础化工
600104,上汽集团,汽车
600109,国金证券,非银金融
600233,圆通速递,交通运输
600338,西藏珠峰,有色金属
600416,湘电股份,电力设备
600458,时代新材,机械设备
600486,扬农化工,基础化工
600498,烽火通信,通信
600577,精达股份,电力设备
600621,华鑫股份,非银金融
600623,华谊集团,基础化工
600682,南京新百,综合
600699,均胜电子,汽车
600739,辽宁成大,医药生物
600797,浙大网新,计算机
600864,哈投股份,非银金融
600933,爱柯迪,汽车
601059,信达证券,非银金融
601137,博威合金,有色金属
601162,天风证券,非银金融
601231,环旭电子,电子
601288,农业银行,银行
601311,骆驼股份,电力设备
601608,中信重工,机械设备
601618,中国中冶,建筑装饰
601788,光大证券,非银金融
603025,大豪科技,机械设备
603075,热威股份,家用电器
603166,福达股份,汽车
603185,弘元绿能,电力设备
603219,富佳股份,家用电器
603268,*ST松发,轻工制造
603306,华懋科技,汽车
603328,依顿电子,电子
603583,捷昌驱动,机械设备
603588,高能环境,环保
603688,石英股份,基础化工
603690,至纯科技,电子
603858,步长制药,医药生物
603881,数据港,通信
603920,世运电路,电子
688003,天准科技,机械设备
688019,安集科技,电子
688037,芯源微,电子
688097,博众精工,机械设备
688116,天奈科技,电力设备
688127,蓝特光学,电子
688220,翱捷科技,电子
688248,南网科技,电力设备
688252,天德钰,电子
688306,均普智能,机械设备
688333,铂力特,机械设备
688351,微电生理,医药生物
688362,甬矽电子,电子
688409,富创精密,电子
688536,思瑞浦,电子
688538,和辉光电,电子
688582,芯动联科,电子
688778,厦钨新能,电力设备
688779,五矿新能,电力设备
688800,瑞可达,电子
835185,贝特瑞,电力设备
872808,曙光数创,计算机
